run,strategy,final_pooled_balanced_accuracy,final_mean_per_task_balanced_accuracy,final_test_evasion_rate,avg_poison_rate_achieved
naive3,naive,0.4626916821742645,0.4652427288983379,0.932,0.12928612110162835
joint1,joint_full_retrain,0.99848997514971,0.9900812243436412,1.0,0.12961353453550079
madar2,madar_er_kd_si,0.8826109103486797,0.8641455762467993,1.0,0.12961353453550079
madar_u1,madar_er_kd_si_plus_unlearning,0.8581511434535848,0.84378003786357,1.0,0.12961353453550079
