run,strategy,final_pooled_balanced_accuracy,final_mean_per_task_balanced_accuracy,final_test_evasion_rate,avg_poison_rate_achieved
madar8,madar_er_kd_si,0.8778514028152675,0.8347907857343744,1.0,0.4079795728080516
madar_active3,madar_er_kd_si_plus_unlearning,0.8338020580829388,0.7991215308100854,1.0,0.4079795728080516
