# episode_index, seconds
1,0.004389
2,0.002806
3,0.002639
4,0.003289
5,0.003253
6,0.003702
7,0.003111
8,0.003117
9,0.003173
10,0.002587
11,0.003794
12,0.003196
13,0.003209
14,0.003167
15,0.002630
16,0.002581
17,0.003162
18,0.003158
19,0.003725
20,0.003738
21,0.082447
22,0.077151
23,0.129222
24,0.129472
25,0.103845
26,0.103535
27,0.103792
28,0.077668
29,0.077710
30,0.052172
31,0.077930
32,0.077672
33,0.077785
34,0.103522
35,0.103738
36,0.103633
37,0.103610
38,0.103896
39,0.103510
40,0.103749
41,0.078039
42,0.103930
43,0.104079
44,0.103527
45,0.077991
46,0.077881
47,0.103748
48,0.026193
49,0.103678
50,0.077812
51,0.077936
52,0.077991
53,0.077846
54,0.104108
55,0.078365
56,0.077822
57,0.077851
58,0.077943
59,0.078008
60,0.026200
61,0.103870
62,0.077905
63,0.078093
64,0.103824
65,0.103941
66,0.104152
67,0.081646
68,0.106312
69,0.104178
70,0.103717
71,0.103816
72,0.078186
73,0.078003
74,0.077952
75,0.078006
76,0.103726
77,0.078638
78,0.078232
79,0.104245
80,0.104061
81,0.103864
82,0.104077
83,0.103719
84,0.103823
85,0.104034
86,0.103620
87,0.077966
88,0.103743
89,0.103944
90,0.103732
91,0.103854
92,0.103823
93,0.103880
94,0.077821
95,0.077911
96,0.077904
97,0.077971
98,0.078025
99,0.077969
100,0.077937
101,0.078019
102,0.077771
103,0.077724
104,0.077970
105,0.052082
106,0.077857
107,0.077951
108,0.026173
109,0.077971
110,0.026071
111,0.026189
112,0.077684
113,0.026310
114,0.052029
115,0.077806
116,0.078189
117,0.052091
118,0.077968
119,0.077862
120,0.051842
121,0.052030
122,0.052213
123,0.078099
124,0.077989
125,0.052214
126,0.051922
127,0.026254
128,0.026102
129,0.052068
130,0.026332
131,0.077865
132,0.052101
133,0.052229
134,0.041452
135,0.051932
136,0.026093
137,0.052028
138,0.025999
139,0.051858
140,0.051902
141,0.052020
142,0.051906
143,0.052594
144,0.026210
145,0.051971
146,0.052184
147,0.026411
148,0.052323
149,0.052059
150,0.051978
151,0.052327
152,0.052173
153,0.052364
154,0.078163
155,0.052363
156,0.052292
157,0.078418
158,0.026185
159,0.052095
160,0.026316
161,0.052200
162,0.052228
163,0.052383
164,0.026223
165,0.051955
166,0.051818
167,0.026055
168,0.052226
169,0.026200
170,0.026161
171,0.026111
172,0.026183
173,0.052287
174,0.026100
175,0.026289
176,0.051896
177,0.026226
178,0.052173
179,0.052191
180,0.077886
181,0.077620
182,0.052066
183,0.052336
184,0.026264
185,0.052032
186,0.026345
187,0.026360
188,0.052160
189,0.026282
190,0.052518
191,0.052527
192,0.052284
193,0.052511
194,0.052114
195,0.052121
196,0.026197
197,0.052622
198,0.026218
199,0.026180
200,0.026247
201,0.052430
202,0.052524
203,0.052265
204,0.026227
205,0.026340
206,0.026325
207,0.026316
208,0.026283
209,0.026362
210,0.052198
211,0.026254
212,0.026172
213,0.026189
214,0.026155
215,0.026255
216,0.026121
217,0.052100
218,0.026371
219,0.054154
220,0.053153
221,0.026968
222,0.052787
223,0.052179
224,0.026286
225,0.026401
226,0.027874
227,0.027233
228,0.027307
229,0.053926
230,0.027787
231,0.055391
232,0.052134
233,0.052691
234,0.052251
235,0.026051
236,0.051970
237,0.052422
238,0.026244
239,0.052569
240,0.052755
241,0.052463
242,0.026355
243,0.026156
244,0.077868
245,0.051966
246,0.026188
247,0.051965
248,0.051909
249,0.026181
250,0.026424
251,0.052133
252,0.078701
253,0.067979
254,0.026070
255,0.026420
256,0.078113
257,0.027579
258,0.027136
259,0.027167
260,0.052188
261,0.026283
262,0.026172
263,0.026134
264,0.026191
265,0.026240
266,0.026127
267,0.026090
268,0.026188
269,0.026135
270,0.026080
271,0.026017
272,0.026128
273,0.026184
274,0.026288
275,0.026210
276,0.026249
277,0.026456
278,0.026106
279,0.026246
280,0.026037
281,0.026191
282,0.026284
283,0.026221
284,0.026086
285,0.026192
286,0.026073
287,0.026015
288,0.026263
289,0.026303
290,0.026171
291,0.026108
292,0.026014
293,0.026191
294,0.026214
295,0.027342
296,0.026849
297,0.026177
298,0.026096
299,0.026116
300,0.026253
