# episode_index, seconds
1,0.004135
2,0.003082
3,0.003410
4,0.003468
5,0.003443
6,0.003430
7,0.003497
8,0.003972
9,0.002972
10,0.002928
11,0.003481
12,0.003564
13,0.002993
14,0.003537
15,0.003472
16,0.004016
17,0.003038
18,0.084173
19,0.130866
20,0.131035
21,0.104849
22,0.105010
23,0.104978
24,0.079032
25,0.078720
26,0.105138
27,0.104688
28,0.104836
29,0.104913
30,0.104642
31,0.104815
32,0.104712
33,0.026341
34,0.105086
35,0.105149
36,0.104764
37,0.105006
38,0.105081
39,0.105286
40,0.105281
41,0.078917
42,0.105409
43,0.078986
44,0.105539
45,0.105182
46,0.078895
47,0.078822
48,0.026431
49,0.106217
50,0.105377
51,0.026535
52,0.052271
53,0.078456
54,0.104846
55,0.130798
56,0.026470
57,0.104504
58,0.078856
59,0.104515
60,0.104823
61,0.130966
62,0.078579
63,0.104775
64,0.078473
65,0.080504
66,0.080916
67,0.053800
68,0.080693
69,0.106878
70,0.053248
71,0.053070
72,0.026795
73,0.080129
74,0.078332
75,0.104108
76,0.052448
77,0.052145
78,0.052028
79,0.052113
80,0.026240
81,0.052237
82,0.077987
83,0.078034
84,0.078120
85,0.026291
86,0.078021
87,0.078011
88,0.052043
89,0.078222
90,0.078151
91,0.078251
92,0.052259
93,0.078429
94,0.052155
95,0.052130
96,0.077914
97,0.052244
98,0.078259
99,0.052137
100,0.077979
101,0.052170
102,0.051997
103,0.078151
104,0.078144
105,0.052107
106,0.078133
107,0.052371
108,0.026255
109,0.078007
110,0.052184
111,0.077985
112,0.059526
113,0.052683
114,0.026165
115,0.077839
116,0.077982
117,0.077940
118,0.052082
119,0.052079
120,0.026287
121,0.026195
122,0.026201
123,0.052090
124,0.026159
125,0.052246
126,0.052265
127,0.026330
128,0.026217
129,0.026304
130,0.052160
131,0.052256
132,0.026423
133,0.026394
134,0.052132
135,0.078295
136,0.026250
137,0.026325
138,0.026322
139,0.026195
140,0.026255
141,0.052260
142,0.026164
143,0.026319
144,0.052113
145,0.026318
146,0.026281
147,0.026172
148,0.052153
149,0.052284
150,0.026232
151,0.026211
152,0.026300
153,0.026328
154,0.078473
155,0.052309
156,0.052462
157,0.052465
158,0.078477
159,0.078282
160,0.078371
161,0.078438
162,0.078000
163,0.077987
164,0.077898
165,0.078260
166,0.078185
167,0.078325
168,0.052190
169,0.078426
170,0.078484
171,0.104399
172,0.078200
173,0.078240
174,0.026121
175,0.052038
176,0.052084
177,0.026255
178,0.026202
179,0.026240
180,0.052148
181,0.052174
182,0.026164
183,0.026258
184,0.026235
185,0.026253
186,0.026262
187,0.052181
188,0.052159
189,0.052282
190,0.026336
191,0.052389
192,0.026274
193,0.026382
194,0.026420
195,0.026362
196,0.026418
197,0.026362
198,0.052572
199,0.026332
200,0.052331
201,0.052351
202,0.052359
203,0.026329
204,0.026310
205,0.052466
206,0.026310
207,0.052361
208,0.026376
209,0.026403
210,0.026305
211,0.026334
212,0.052312
213,0.052469
214,0.026339
215,0.026356
216,0.052320
217,0.052549
218,0.026305
219,0.052573
220,0.052123
221,0.026289
222,0.052101
223,0.026253
224,0.033364
225,0.053184
226,0.026239
227,0.052186
228,0.026168
229,0.052198
230,0.052336
231,0.052270
232,0.026386
233,0.026248
234,0.026363
235,0.026143
236,0.078437
237,0.026301
238,0.026380
239,0.026278
240,0.026296
241,0.052493
242,0.026247
243,0.078198
244,0.078321
245,0.078602
246,0.078481
247,0.078327
248,0.078034
249,0.078187
250,0.078288
251,0.078250
252,0.078239
253,0.078126
254,0.104076
255,0.052184
256,0.078131
257,0.078320
258,0.052341
259,0.078216
260,0.078462
261,0.078231
262,0.104466
263,0.078378
264,0.078287
265,0.078382
266,0.104250
267,0.104339
268,0.104328
269,0.104657
270,0.104384
271,0.104276
272,0.078284
273,0.078486
274,0.078155
275,0.078279
276,0.078331
277,0.078344
278,0.104256
279,0.104303
280,0.104476
281,0.078484
282,0.052436
283,0.052193
284,0.052081
285,0.026460
286,0.052413
287,0.026331
288,0.052297
289,0.052397
290,0.052296
291,0.078307
292,0.052236
293,0.052345
294,0.052411
295,0.052435
296,0.052347
297,0.052476
298,0.052239
299,0.052569
300,0.052558
301,0.026382
302,0.036729
303,0.053571
304,0.052485
305,0.078156
306,0.026256
307,0.052395
308,0.078427
309,0.052403
310,0.026328
311,0.026383
312,0.052375
313,0.026422
314,0.052378
315,0.052357
316,0.026362
317,0.052437
318,0.052394
319,0.026345
320,0.026341
321,0.052397
322,0.052453
323,0.026792
324,0.052447
325,0.052489
326,0.026322
327,0.026295
328,0.052638
329,0.026361
330,0.026403
331,0.052412
332,0.052457
333,0.026421
334,0.026243
335,0.026361
336,0.026413
337,0.026390
338,0.026314
339,0.026320
340,0.052420
341,0.026501
342,0.026293
343,0.026413
344,0.026368
345,0.026367
346,0.026432
347,0.026358
348,0.026363
349,0.026414
350,0.026376
351,0.026349
352,0.026332
353,0.052611
354,0.052397
355,0.026516
356,0.052421
357,0.052434
358,0.052439
359,0.026344
360,0.078408
361,0.052396
362,0.026416
363,0.078459
364,0.052344
365,0.078427
366,0.052144
367,0.052130
368,0.052109
369,0.078074
370,0.026202
