# episode_index, seconds
1,0.001171
2,0.001017
3,0.000969
4,0.001703
5,0.001717
6,0.001019
7,0.001009
8,0.001013
9,0.002674
10,0.001022
11,0.001003
12,0.002344
13,0.001023
14,0.001007
15,0.001052
16,0.001009
17,0.001025
18,0.001003
19,0.001656
20,0.001021
21,0.001026
22,0.001821
23,0.000922
24,0.000890
25,0.000978
26,0.000949
27,0.000940
28,0.000945
29,0.002946
30,0.000930
31,0.000927
32,0.000930
33,0.001637
34,0.000958
35,0.014817
36,0.000953
37,0.001643
38,0.000971
39,0.000940
40,0.000935
41,0.000956
42,0.000949
43,0.000950
44,0.000949
45,0.000978
46,0.000948
47,0.000943
48,0.000951
49,0.000971
50,0.002275
51,0.001612
52,0.001019
53,0.001013
54,0.000972
55,0.000976
56,0.000979
57,0.001004
58,0.000990
59,0.000972
60,0.001637
61,0.001015
62,0.010625
63,0.002267
64,0.001681
65,0.001038
66,0.000995
67,0.001008
68,0.000990
69,0.001026
70,0.006964
71,0.000995
72,0.001663
73,0.057722
74,0.026644
75,0.053056
76,0.053133
77,0.053223
78,0.026633
79,0.053194
80,0.053352
81,0.036632
82,0.029061
83,0.026991
84,0.026925
85,0.026967
86,0.026988
87,0.053147
88,0.026860
89,0.026919
90,0.026949
91,0.026977
92,0.026970
93,0.026858
94,0.026973
95,0.026999
96,0.026984
97,0.026885
98,0.026724
99,0.026727
100,0.026938
101,0.026881
102,0.026905
103,0.026783
104,0.026852
105,0.026909
106,0.035952
107,0.026986
108,0.026854
109,0.027113
110,0.026880
111,0.026881
112,0.026974
113,0.026888
114,0.026916
115,0.026639
116,0.026831
117,0.026941
118,0.026810
119,0.026806
120,0.026898
121,0.026770
122,0.026840
123,0.026808
124,0.026978
125,0.027116
126,0.027225
127,0.026951
128,0.026851
129,0.026952
130,0.026990
131,0.026924
132,0.026914
133,0.026893
134,0.026879
135,0.027021
136,0.026842
137,0.027026
138,0.026782
139,0.079648
140,0.026881
141,0.027148
142,0.027020
143,0.027037
144,0.026914
145,0.264283
146,0.026960
147,0.026954
148,0.026874
149,0.027033
150,0.026897
151,0.027082
152,0.026935
153,0.027059
154,0.026857
155,0.026868
156,0.026722
157,0.026904
158,0.026913
159,0.026814
160,0.026784
161,0.026899
162,0.026860
163,0.026943
164,0.027066
165,0.026981
166,0.036359
167,0.027846
168,0.026969
169,0.026886
170,0.026841
171,0.026775
172,0.026988
173,0.026879
174,0.026859
175,0.026800
176,0.026729
177,0.026987
178,0.026870
179,0.028671
180,0.029794
181,0.027068
182,0.026909
183,0.026925
184,0.026893
185,0.027001
186,0.027256
187,0.026906
188,0.026980
189,0.027016
190,0.026919
191,0.026904
192,0.026932
193,0.026897
194,0.026728
195,0.026941
196,0.026790
197,0.027004
198,0.027009
199,0.026999
200,0.027103
201,0.026949
202,0.037969
203,0.029023
204,0.026876
205,0.026968
206,0.026907
207,0.026874
208,0.027106
209,0.026978
210,0.036270
211,0.029132
212,0.026990
213,0.027009
214,0.027064
215,0.026947
216,0.026872
217,0.027278
218,0.026841
219,0.026967
220,0.026883
221,0.027078
222,0.026842
223,0.026999
224,0.026888
225,0.027044
226,0.026935
227,0.026984
228,0.026969
229,0.026998
230,0.026982
231,0.026898
232,0.026959
233,0.026996
234,0.026976
235,0.026996
236,0.027173
237,0.027016
238,0.026920
239,0.027024
240,0.027010
241,0.027222
242,0.027006
243,0.026983
244,0.027097
245,0.026769
246,0.026774
247,0.026765
248,0.026703
249,0.026886
250,0.026884
251,0.026885
252,0.026879
253,0.026970
254,0.026857
255,0.027067
256,0.026913
257,0.027088
258,0.026973
259,0.026896
260,0.026997
261,0.026997
262,0.027002
263,0.026954
264,0.026943
265,0.026981
266,0.053364
267,0.026871
268,0.026777
269,0.027031
270,0.026907
271,0.026895
272,0.026963
273,0.026935
274,0.026957
275,0.026952
276,0.027032
277,0.026959
278,0.026896
279,0.027038
280,0.026988
281,0.027022
282,0.026984
283,0.026939
284,0.026984
285,0.026956
286,0.026979
287,0.026986
288,0.053435
289,0.027038
290,0.053543
291,0.053237
292,0.027002
293,0.026990
294,0.026945
295,0.026964
296,0.026879
297,0.027016
298,0.027022
299,0.026972
300,0.026940
301,0.027054
302,0.026857
303,0.053285
304,0.026977
305,0.026950
306,0.026918
307,0.026962
308,0.026975
309,0.027008
310,0.026967
311,0.026801
312,0.026945
313,0.026992
314,0.026957
315,0.026961
316,0.027017
317,0.027089
318,0.027032
319,0.027012
320,0.026992
321,0.027017
322,0.027152
323,0.026961
324,0.026751
325,0.026861
326,0.026901
327,0.053531
328,0.026917
329,0.027018
330,0.027049
331,0.026596
332,0.027022
333,0.026933
334,0.026859
335,0.026909
336,0.026906
337,0.026878
338,0.026954
339,0.026813
340,0.036782
341,0.030207
342,0.026913
343,0.027894
344,0.037949
345,0.027914
346,0.037093
347,0.027179
348,0.036735
349,0.029017
350,0.037009
351,0.035627
352,0.037478
353,0.041016
354,0.037973
355,0.029262
356,0.026929
357,0.026801
358,0.036986
359,0.027137
360,0.027134
361,0.027157
362,0.026914
363,0.026933
364,0.026884
365,0.036880
366,0.031093
367,0.028415
368,0.026734
369,0.027171
370,0.026906
371,0.032711
372,0.027210
373,0.026955
374,0.026960
375,0.027017
376,0.026916
377,0.027034
378,0.026887
379,0.026973
380,0.026958
381,0.027083
382,0.027001
383,0.027073
384,0.027012
385,0.036890
386,0.027662
387,0.027129
388,0.027011
389,0.026983
390,0.026981
391,0.027036
392,0.026869
393,0.026954
394,0.027013
395,0.026959
396,0.027063
397,0.027119
398,0.027020
399,0.026920
400,0.026951
401,0.027087
402,0.026945
403,0.026989
404,0.037335
405,0.037893
406,0.030665
407,0.027143
408,0.026993
409,0.038222
410,0.028402
411,0.026871
412,0.026759
413,0.026931
414,0.026955
415,0.038138
416,0.028275
417,0.026960
418,0.027003
419,0.026905
420,0.026943
421,0.027129
422,0.027071
423,0.026961
424,0.036774
425,0.027253
426,0.026988
427,0.026851
428,0.026962
429,0.027092
430,0.026895
431,0.026979
432,0.027008
433,0.026920
434,0.027042
435,0.026934
436,0.026901
437,0.026998
438,0.026962
439,0.027003
440,0.026977
441,0.027155
442,0.026987
443,0.027066
444,0.026929
445,0.026927
446,0.026915
447,0.027041
448,0.026910
449,0.027054
450,0.026880
451,0.026992
452,0.026972
453,0.027012
454,0.026913
455,0.026852
456,0.026851
457,0.026946
458,0.026863
459,0.026945
460,0.026849
461,0.027003
462,0.027050
463,0.026858
464,0.026984
465,0.027086
466,0.038108
467,0.029150
468,0.027003
469,0.026891
470,0.027005
471,0.027056
472,0.027003
473,0.027056
474,0.027058
475,0.026835
476,0.026979
477,0.026945
478,0.026983
479,0.027053
480,0.026956
481,0.027085
482,0.026968
483,0.027031
484,0.026942
485,0.027060
486,0.026930
487,0.034051
488,0.027050
489,0.026960
490,0.026919
491,0.027005
492,0.027031
493,0.026968
494,0.026893
495,0.026991
496,0.026907
497,0.027130
498,0.026806
499,0.027091
500,0.026871
501,0.053568
502,0.026991
503,0.026941
504,0.027035
505,0.027006
506,0.079920
507,0.053596
508,0.027050
509,0.027143
510,0.026998
511,0.027153
512,0.026784
513,0.027039
514,0.027105
515,0.053383
516,0.053376
517,0.027152
518,0.053608
519,0.661923
520,0.026866
521,0.027012
522,0.027157
523,0.027057
524,0.026938
525,0.027253
526,0.027017
527,0.027126
528,0.027019
529,0.027127
530,0.026799
531,0.026901
532,0.026721
533,0.026897
534,0.026714
535,0.026941
536,0.026853
537,0.027234
538,0.037873
539,0.028142
540,0.026881
541,0.027018
542,0.026866
543,0.026873
544,0.027000
545,0.027213
546,0.026933
547,0.026989
548,0.027169
549,0.027599
550,0.026976
551,0.027138
552,0.026967
553,0.026951
554,0.027115
555,0.027049
556,0.026971
557,0.027056
558,0.027054
559,0.027017
560,0.026961
561,0.026961
562,0.026936
563,0.026962
564,0.027140
565,0.027084
566,0.026978
567,0.027133
568,0.026955
569,0.027083
570,0.026995
571,0.026941
572,0.027106
573,0.027428
574,0.027075
575,0.027324
576,0.027314
577,0.027281
578,0.027284
579,0.027193
580,0.027140
581,0.027398
582,0.027115
583,0.026970
584,0.027218
585,0.027109
586,0.027462
587,0.027311
588,0.027152
589,0.027278
590,0.027144
591,0.027376
592,0.027284
593,0.027077
594,0.027202
595,0.027197
596,0.027123
597,0.027146
598,0.038218
599,0.029462
600,0.027220
601,0.027277
602,0.027562
603,0.027331
604,0.027132
605,0.027571
606,0.027320
607,0.027373
608,0.027477
609,0.027082
610,0.027424
611,0.027027
612,0.026964
613,0.027342
614,0.027106
615,0.027143
616,0.027483
617,0.027235
618,0.027307
619,0.027309
620,0.027134
621,0.027319
622,0.027295
623,0.027100
624,0.027521
625,0.027032
626,0.027148
627,0.027320
628,0.027067
629,0.027311
630,0.027390
631,0.027276
632,0.027433
633,0.027129
634,0.054237
635,0.027149
636,0.027384
637,0.027560
638,0.026956
639,0.027151
640,0.027225
641,0.027059
642,0.027181
643,0.053563
644,0.027145
645,0.027222
646,0.027360
647,0.027485
648,0.027189
649,0.027687
650,0.027262
651,0.027124
652,0.027364
653,0.027542
654,0.027108
655,0.027222
656,0.026906
657,0.053447
658,0.027037
659,0.027238
660,0.027239
661,0.027193
662,0.027490
663,0.027005
664,0.053577
665,0.027106
666,0.027320
667,0.027148
668,0.026952
669,0.027457
670,0.027028
671,0.027484
672,0.027281
673,0.027263
674,0.027363
675,0.027109
676,0.027162
677,0.027409
678,0.027194
679,0.027366
680,0.027305
681,0.027213
682,0.027055
683,0.026994
684,0.027048
685,0.027113
686,0.027107
687,0.027170
688,0.027473
689,0.053918
690,0.027216
691,0.027005
692,0.027363
693,0.027184
694,0.054139
695,0.027282
696,0.027218
697,0.027345
698,0.027183
699,0.027359
700,0.027174
701,0.027156
702,0.027248
703,0.027313
704,0.027176
705,0.027390
706,0.027270
707,0.027324
708,0.027239
709,0.027203
710,0.027285
711,0.027228
712,0.027107
713,0.027484
714,0.027298
715,0.027153
716,0.027414
717,0.027211
718,0.027477
719,0.027365
720,0.027197
721,0.027095
722,0.027053
723,0.027234
724,0.027528
725,0.027195
726,0.026992
727,0.027352
728,0.026937
729,0.026876
730,0.027043
731,0.027276
732,0.027220
733,0.027169
734,0.027283
735,0.027402
736,0.027221
737,0.027941
738,0.027232
739,0.027193
740,0.054073
741,0.027202
742,0.027074
743,0.053890
744,0.027499
745,0.027061
746,0.027398
747,0.027329
748,0.027164
749,0.027654
750,0.027129
751,0.053773
752,0.027042
753,0.027367
754,0.027200
755,0.027051
756,0.027099
757,0.027122
758,0.027022
759,0.027353
760,0.027289
761,0.027230
762,0.027473
763,0.027051
764,0.027001
765,0.027144
766,0.026926
767,0.027249
768,0.027088
769,0.027254
770,0.027352
771,0.027180
772,0.027536
773,0.027332
774,0.027078
775,0.027270
776,0.027263
777,0.027136
778,0.027453
779,0.027066
780,0.027149
781,0.027558
782,0.027090
783,0.027214
784,0.027069
785,0.027131
786,0.027247
787,0.027281
788,0.027134
789,0.027506
790,0.027113
791,0.027291
792,0.027394
793,0.027121
794,0.027365
795,0.027271
796,0.027182
797,0.053964
798,0.027055
799,0.027285
800,0.027028
801,0.027460
802,0.027248
803,0.054018
804,0.481073
805,0.214272
806,0.187582
807,0.107590
808,0.027446
809,0.107759
810,0.027450
811,0.027246
812,0.027140
813,0.027331
814,0.027292
815,0.026994
816,0.027229
817,0.027141
818,0.027240
819,0.027317
820,0.027070
821,0.027380
822,0.027382
823,0.027149
824,0.027580
825,0.027390
826,0.027249
827,0.027366
828,0.027188
829,0.027209
830,0.027190
831,0.027389
832,0.027295
833,0.027578
834,0.027084
835,0.027397
836,0.027212
837,0.027132
838,0.027215
839,0.027209
840,0.027051
841,0.027303
842,0.026929
843,0.027152
844,0.027215
845,0.027174
846,0.027170
847,0.027093
848,0.027316
849,0.027486
850,0.027128
851,0.027159
852,0.027500
853,0.027243
854,0.027352
855,0.027276
856,0.027186
857,0.027334
858,0.027102
859,0.027207
860,0.027362
861,0.027228
862,0.027187
863,0.027311
864,0.027096
865,0.027293
866,0.027143
867,0.027177
868,0.027485
869,0.037354
# total_episodes=869, avg_seconds=0.028448
