# step, elapsed_sec, agent_ids, cosine_matrix_flat_rowmajor
1,169.716513,[1, 2],[1.0000001192092896, 0.02843020297586918, 0.02843020297586918, 1.0000001192092896]
2,169.720326,[1, 2],[1.0000001192092896, 0.029164524748921394, 0.029164524748921394, 1.0]
3,169.721122,[1, 2],[1.0000001192092896, 0.02943214401602745, 0.02943214401602745, 0.9999998807907104]
4,169.723546,[1, 2],[1.0000001192092896, 0.02776317670941353, 0.02776317670941353, 1.000000238418579]
5,169.724322,[1, 2],[1.0000001192092896, 0.028218932449817657, 0.028218932449817657, 1.0]
6,169.725624,[1, 2],[1.0000001192092896, 0.026854339987039566, 0.026854339987039566, 1.0]
7,169.729660,[1, 2],[1.0000001192092896, 0.02716502919793129, 0.02716502919793129, 1.0]
8,169.731548,[1, 2],[1.0000001192092896, 0.025568582117557526, 0.025568582117557526, 0.9999998807907104]
9,169.732904,[1, 2],[1.0000001192092896, 0.024493109434843063, 0.024493109434843063, 1.0]
10,169.733644,[1, 2],[1.0000001192092896, 0.02581310272216797, 0.02581310272216797, 1.0]
11,169.734373,[1, 2],[1.0000001192092896, 0.02717476710677147, 0.02717476710677147, 1.0000001192092896]
12,169.735087,[1, 2],[1.0000001192092896, 0.027001075446605682, 0.027001075446605682, 0.9999998807907104]
13,169.736974,[1, 2],[1.0000001192092896, 0.027317937463521957, 0.027317937463521957, 0.9999998807907104]
14,169.737779,[1, 2],[1.0000001192092896, 0.028045479208230972, 0.028045479208230972, 1.0]
15,169.741366,[1, 2],[1.0000001192092896, 0.031245172023773193, 0.031245172023773193, 1.0000001192092896]
16,169.742710,[1, 2],[1.0000001192092896, 0.028601864352822304, 0.028601864352822304, 0.9999998807907104]
17,169.744620,[1, 2],[1.0000001192092896, 0.027927447110414505, 0.027927447110414505, 1.0]
18,169.745361,[1, 2],[1.0000001192092896, 0.026055876165628433, 0.026055876165628433, 1.0]
19,169.747237,[1, 2],[1.0000001192092896, 0.025634875521063805, 0.025634875521063805, 1.0]
20,169.749681,[1, 2],[1.0000001192092896, 0.025600705295801163, 0.025600705295801163, 1.0000001192092896]
21,169.750463,[1, 2],[1.0000001192092896, 0.027730002999305725, 0.027730002999305725, 1.0]
22,169.751184,[1, 2],[1.0000001192092896, 0.026431139558553696, 0.026431139558553696, 1.0]
23,169.752518,[1, 2],[1.0000001192092896, 0.024432215839624405, 0.024432215839624405, 0.9999999403953552]
24,169.753267,[1, 2],[1.0000001192092896, 0.026006389409303665, 0.026006389409303665, 0.9999998211860657]
25,169.754019,[1, 2],[1.0000001192092896, 0.023962633684277534, 0.023962633684277534, 0.9999998807907104]
26,169.756438,[1, 2],[1.0000001192092896, 0.022039450705051422, 0.022039450705051422, 1.0]
27,169.757174,[1, 2],[1.0000001192092896, 0.02142026647925377, 0.02142026647925377, 0.9999999403953552]
28,169.757911,[1, 2],[1.0000001192092896, 0.024788707494735718, 0.024788707494735718, 1.0]
29,169.758679,[1, 2],[1.0000001192092896, 0.022595267742872238, 0.022595267742872238, 1.0]
30,169.759407,[1, 2],[1.0000001192092896, 0.02274881862103939, 0.02274881862103939, 0.9999997615814209]
31,169.760119,[1, 2],[1.0000001192092896, 0.020791804417967796, 0.020791804417967796, 1.000000238418579]
32,169.763618,[1, 2],[1.0000001192092896, 0.02083054929971695, 0.02083054929971695, 0.9999998211860657]
33,169.766091,[1, 2],[1.0000001192092896, 0.020270155742764473, 0.020270155742764473, 1.0000001192092896]
34,169.768507,[1, 2],[1.0000001192092896, 0.019410084933042526, 0.019410084933042526, 0.9999998807907104]
35,169.771999,[1, 2],[1.0000001192092896, 0.019456490874290466, 0.019456490874290466, 1.0]
36,169.773320,[1, 2],[1.0000001192092896, 0.019157016649842262, 0.019157016649842262, 0.9999999403953552]
37,169.774089,[1, 2],[1.0000001192092896, 0.020236119627952576, 0.020236119627952576, 0.9999998211860657]
38,169.777030,[1, 2],[1.0000001192092896, 0.019448179751634598, 0.019448179751634598, 0.9999998211860657]
