# episode_index, seconds
1,0.011356
2,0.012034
3,0.013953
4,0.014974
5,0.013906
6,0.011237
7,0.014157
8,0.014718
9,0.002896
10,0.003511
11,0.004224
12,0.013008
13,0.017406
14,0.008047
15,0.004200
16,0.002793
17,0.002977
18,0.015710
19,0.014954
20,0.003628
21,0.012546
22,0.014701
23,0.018264
24,0.049317
25,0.047418
26,0.047132
27,0.334873
28,0.050057
29,0.185428
30,0.045847
31,0.117203
32,0.035471
33,0.046938
34,0.141986
35,0.093268
36,0.093455
37,0.093189
38,0.046675
39,0.065504
40,0.139929
41,0.048753
42,0.046953
43,0.094193
44,0.094827
45,0.047155
46,0.046758
47,0.050662
48,0.139188
49,0.143036
50,0.143375
51,0.046517
52,0.046736
53,0.139397
54,0.047271
55,0.140334
56,0.050680
57,0.047600
58,0.046981
59,0.047725
60,0.046086
61,0.142164
62,0.048130
63,0.046516
64,0.045892
65,0.044591
66,0.046150
67,0.049577
68,0.046755
69,0.046374
70,0.049425
71,0.047291
72,0.046469
73,0.045827
74,0.188198
75,0.092218
76,0.045597
77,0.140664
78,0.046069
79,0.050298
80,0.047409
81,0.047982
82,0.046774
83,0.093791
84,0.045757
85,0.094140
86,0.096687
87,0.140782
88,0.138645
89,0.092616
90,0.142574
91,0.092263
92,0.138592
93,0.093477
94,0.142022
95,0.136976
96,0.095167
97,0.093302
98,0.142596
99,0.046857
100,0.139007
101,0.060584
102,0.137966
103,0.138639
104,0.046837
105,0.048444
106,0.141668
107,0.048228
108,0.091774
109,0.045925
110,0.046687
111,0.052273
112,0.047154
113,0.045703
114,0.046716
115,0.046543
116,0.048802
117,0.046167
118,0.046943
119,0.047481
120,0.049132
121,0.092743
122,0.046346
123,0.094808
124,0.046111
125,0.085522
126,0.046288
127,0.045805
128,0.045564
129,0.045258
130,0.049803
131,0.047190
132,0.045977
133,0.050427
134,0.047485
135,0.092647
136,0.046178
137,0.043705
138,0.044344
139,0.089870
140,0.046643
141,0.101238
142,0.046449
143,0.046345
144,0.047393
145,0.048487
146,0.045708
147,0.046222
148,0.045969
149,0.046377
150,0.045591
151,0.046313
152,0.046741
153,0.046416
154,0.046161
155,0.046620
156,0.046608
157,0.046407
158,0.045783
159,0.049155
160,0.046866
161,0.046339
162,0.045978
163,0.045912
164,0.045922
165,0.046278
166,0.046095
167,0.045774
168,0.046114
169,0.045909
170,0.046109
171,0.045650
172,0.046390
173,0.045865
174,0.046865
175,0.047087
176,0.045556
177,0.045888
178,0.045890
179,0.045577
180,0.045925
181,0.046125
182,0.046890
183,0.046330
184,0.045870
185,0.046895
186,0.046953
187,0.046318
188,0.045786
189,0.049082
190,0.047786
191,0.046504
192,0.045696
193,0.046039
194,0.046014
195,0.092366
196,0.047025
197,0.047112
198,0.045284
199,0.045718
200,0.046021
201,0.045436
202,0.045704
203,0.046102
204,0.045763
205,0.047556
206,0.047426
207,0.092973
208,0.046083
209,0.046192
210,0.111419
211,0.047622
212,0.094776
213,0.046507
214,0.046041
215,0.045590
216,0.045988
217,0.091781
218,0.045863
219,0.045742
220,0.045338
221,0.047745
222,0.092136
223,0.045903
224,0.091811
225,0.046500
226,0.045660
227,0.054696
228,0.049050
229,0.046675
230,0.047032
231,0.046250
232,0.046147
233,0.046050
234,0.045948
235,0.045901
236,0.046796
237,0.046070
238,0.046151
239,0.045851
240,0.046039
241,0.046399
242,0.138469
243,0.047409
244,0.091679
245,0.045528
246,0.046449
247,0.046759
248,0.045559
249,0.046044
250,0.046820
251,0.046863
252,0.046119
253,0.046025
254,0.046013
255,0.047353
256,0.048715
257,0.047058
258,0.046742
259,0.046782
260,0.092655
261,0.046500
262,0.046786
263,0.045975
264,0.045999
265,0.046116
266,0.046085
267,0.045891
268,0.092070
269,0.048276
270,0.092901
271,0.045667
272,0.046092
273,0.046829
274,0.046251
275,0.045673
276,0.045957
277,0.046759
278,0.046090
279,0.047412
280,0.045669
281,0.046454
282,0.048788
283,0.047918
284,0.045893
285,0.046441
286,0.046309
287,0.045994
288,0.046116
289,0.046145
290,0.047520
291,0.048706
292,0.063030
293,0.046970
294,0.047041
295,0.046828
296,0.046899
297,0.047154
298,0.047514
299,0.046931
300,0.047723
301,0.046079
302,0.049071
303,0.045790
304,0.045561
305,0.046181
306,0.046720
307,0.046685
308,0.046788
309,0.045904
310,0.046380
311,0.046916
312,0.046301
313,0.045699
314,0.049393
315,0.046888
316,0.046326
317,0.046188
318,0.045333
319,0.046704
320,0.046827
321,0.046272
322,0.046389
323,0.046150
324,0.045294
325,0.045576
326,0.045761
327,0.045886
328,0.045950
329,0.048858
330,0.045978
331,0.045847
332,0.045926
333,0.046402
334,0.047565
335,0.046311
336,0.046011
337,0.045858
338,0.045798
339,0.047156
340,0.047377
341,0.046991
342,0.047368
343,0.045995
344,0.091412
345,0.046806
346,0.044800
347,0.045476
348,0.045431
349,0.046394
350,0.046170
351,0.046029
352,0.092208
353,0.047322
354,0.047468
355,0.045627
356,0.046053
357,0.046472
358,0.136590
359,0.138427
360,0.047103
361,0.140264
362,0.184919
363,0.184212
364,0.182067
365,0.182157
366,0.181604
367,0.137638
368,0.137093
369,0.092364
370,0.091545
371,0.096821
372,0.094190
373,0.096389
374,0.095123
375,0.096640
376,0.106398
377,0.092134
378,0.142400
379,0.093528
380,0.139282
381,0.147825
382,0.046674
383,0.092937
384,0.093238
385,0.047653
386,0.137808
387,0.047146
388,0.050678
389,0.183667
390,0.186036
391,0.143471
392,0.187257
393,0.046593
394,0.046770
395,0.051006
396,0.046684
397,0.185166
398,0.046280
399,0.095344
400,0.045378
401,0.141056
402,0.046678
403,0.046576
404,0.046403
405,0.048441
406,0.046966
407,0.047148
408,0.046568
409,0.050622
410,0.047405
411,0.047213
412,0.046246
413,0.046263
414,0.047930
415,0.048520
416,0.048576
417,0.048547
418,0.046856
419,0.046420
420,0.046116
421,0.045692
422,0.049756
423,0.046572
424,0.046248
425,0.046467
426,0.047530
427,0.050201
428,0.047417
429,0.046817
430,0.045865
431,0.047667
432,0.046717
433,0.047171
434,0.046494
435,0.050095
436,0.046980
437,0.046806
438,0.046687
439,0.046528
440,0.045460
441,0.048534
442,0.061689
443,0.047856
444,0.047775
445,0.046781
446,0.046205
447,0.047408
448,0.047550
449,0.049955
450,0.046971
451,0.046733
452,0.046221
453,0.047040
454,0.041635
455,0.029941
456,0.046367
457,0.046794
458,0.046011
459,0.049146
460,0.046823
461,0.047639
462,0.049788
463,0.047343
464,0.047154
465,0.046423
466,0.045946
467,0.048372
468,0.047967
469,0.046929
470,0.046657
471,0.046703
472,0.050624
473,0.047302
474,0.046465
475,0.047751
476,0.046104
477,0.047012
478,0.047299
479,0.050616
480,0.047248
481,0.047322
482,0.046762
483,0.047330
484,0.047772
485,0.047536
486,0.046063
487,0.048798
488,0.047531
489,0.045939
490,0.046667
491,0.048758
492,0.046854
493,0.047413
494,0.047326
495,0.050762
496,0.047679
497,0.046814
498,0.046580
499,0.046587
500,0.047219
501,0.047803
502,0.050704
503,0.139691
504,0.046040
505,0.046127
506,0.048537
507,0.046056
508,0.047579
509,0.047591
510,0.050389
511,0.047911
512,0.046145
513,0.046500
514,0.141450
515,0.046179
516,0.050933
517,0.057611
518,0.046294
519,0.047019
520,0.046867
521,0.047603
522,0.049436
523,0.046664
524,0.046940
525,0.045592
526,0.049286
527,0.046404
528,0.047840
529,0.049446
530,0.046787
531,0.046772
532,0.046209
533,0.045598
534,0.047518
535,0.047848
536,0.046599
537,0.046058
538,0.046499
539,0.046947
540,0.049878
541,0.047752
542,0.092414
543,0.046550
544,0.046837
545,0.045938
546,0.050410
547,0.046707
548,0.046042
549,0.046939
550,0.045770
551,0.045648
552,0.048810
553,0.045969
554,0.050631
555,0.047217
556,0.046375
557,0.046510
558,0.045815
559,0.047931
560,0.048055
561,0.045725
562,0.046781
563,0.045607
564,0.046195
565,0.050009
566,0.048023
567,0.046580
568,0.047139
569,0.177926
570,0.048249
571,0.047106
572,0.047396
573,0.047179
574,0.191450
575,0.047547
576,0.193251
577,0.188455
578,0.047210
579,0.048540
580,0.048971
581,0.047356
582,0.047897
583,0.047160
584,0.047804
585,0.050157
586,0.049649
587,0.046161
588,0.046692
589,0.048719
590,0.048853
591,0.048561
592,0.046924
593,0.047615
594,0.047782
595,0.050892
596,0.048803
597,0.049162
598,0.047540
599,0.047084
600,0.047418
601,0.191249
602,0.048629
603,0.193372
604,0.186990
605,0.046948
606,0.192673
607,0.148300
608,0.143105
609,0.186706
610,0.046264
611,0.192731
612,0.052812
613,0.048648
614,0.094481
615,0.030315
616,0.028776
617,0.046936
618,0.046923
619,0.047611
620,0.047253
621,0.047189
622,0.046356
623,0.093426
624,0.050852
625,0.047895
626,0.047449
627,0.047950
628,0.051338
629,0.048326
630,0.047690
631,0.046976
632,0.047026
633,0.047206
634,0.046954
635,0.046693
636,0.047072
637,0.049655
638,0.048446
639,0.049122
640,0.049700
641,0.048354
642,0.048439
643,0.047321
644,0.047805
645,0.046826
646,0.047084
647,0.046883
648,0.046885
649,0.046441
650,0.047849
651,0.050159
652,0.048071
653,0.047862
654,0.051152
655,0.048701
656,0.047658
657,0.047353
658,0.047115
659,0.047461
