# episode_index, seconds
1,0.001320
2,0.001670
3,0.002402
4,0.000784
5,0.000818
6,0.001993
7,0.003740
8,0.003742
9,0.000803
10,0.000769
11,0.000776
12,0.000774
13,0.000805
14,0.000768
15,0.003792
16,0.000774
17,0.003238
18,0.001981
19,0.000753
20,0.001980
21,0.000794
22,0.003185
23,0.000765
24,0.000755
25,0.000796
26,0.000780
27,0.000778
28,0.002644
29,0.000800
30,0.000757
31,0.000757
32,0.000757
33,0.003228
34,0.003183
35,0.002587
36,0.003195
37,0.000809
38,0.001395
39,0.000768
40,0.003180
41,0.002034
42,0.002649
43,0.055250
44,0.026379
45,0.077049
46,0.025825
47,0.025925
48,0.025956
49,0.051928
50,0.051649
51,0.025909
52,0.026313
53,0.026282
54,0.026170
55,0.026172
56,0.026315
57,0.026101
58,0.026340
59,0.026218
60,0.026228
61,0.026198
62,0.026175
63,0.026318
64,0.026244
65,0.026083
66,0.052157
67,0.026176
68,0.026042
69,0.026394
70,0.026011
71,0.026160
72,0.026299
73,0.026267
74,0.026400
75,0.026083
76,0.026428
77,0.026567
78,0.026089
79,0.026331
80,0.026184
81,0.026419
82,0.026095
83,0.026292
84,0.026440
85,0.026150
86,0.026135
87,0.026147
88,0.026075
89,0.026220
90,0.026068
91,0.026340
92,0.026175
93,0.026418
94,0.025965
95,0.026354
96,0.026078
97,0.026199
98,0.026411
99,0.026090
100,0.026310
101,0.026013
102,0.026072
103,0.026109
104,0.026224
105,0.026511
106,0.026162
107,0.026431
108,0.026135
109,0.026674
110,0.130207
111,0.026148
112,0.078058
113,0.078378
114,0.052082
115,0.052276
116,0.052110
117,0.052258
118,0.078472
119,0.052219
120,0.052435
121,0.052486
122,0.026561
123,0.052289
124,0.026412
125,0.052421
126,0.052272
127,0.026127
128,0.026144
129,0.026378
130,0.026069
131,0.026210
132,0.026057
133,0.026387
134,0.026067
135,0.026195
136,0.026205
137,0.026185
138,0.026360
139,0.026169
140,0.026351
141,0.026034
142,0.026107
143,0.026425
144,0.026083
145,0.026154
146,0.026186
147,0.026234
148,0.025920
149,0.026262
150,0.026394
151,0.026129
152,0.026230
153,0.026215
154,0.026292
155,0.026530
156,0.026155
157,0.026178
158,0.026052
159,0.026223
160,0.026036
161,0.026317
162,0.026333
163,0.026127
164,0.026132
165,0.026042
166,0.026254
167,0.025982
168,0.026297
169,0.026114
170,0.026138
171,0.026385
172,0.025983
173,0.026281
174,0.027009
175,0.027469
176,0.026587
177,0.026216
178,0.026293
179,0.025976
180,0.026275
181,0.026517
182,0.026073
183,0.026176
184,0.026074
185,0.026367
186,0.025993
187,0.026145
188,0.026456
189,0.026148
190,0.026234
191,0.026122
192,0.026507
193,0.026274
194,0.026202
195,0.026318
196,0.026095
197,0.026422
198,0.026077
199,0.026199
200,0.026268
201,0.026093
202,0.052441
203,0.026341
204,0.026030
205,0.052075
206,0.026144
207,0.026471
208,0.026184
209,0.026440
210,0.026057
211,0.026106
212,0.078524
213,0.078438
214,0.078037
215,0.104038
216,0.104549
217,0.130263
218,0.077949
219,0.052127
220,0.052310
221,0.026192
222,0.052186
223,0.052030
224,0.052211
225,0.052492
226,0.026356
227,0.052192
228,0.026255
229,0.026507
230,0.026325
231,0.026241
232,0.026348
233,0.026470
234,0.026194
235,0.026112
236,0.025960
237,0.026137
238,0.026075
239,0.026360
240,0.025932
241,0.026251
242,0.026394
243,0.025990
244,0.026472
245,0.026055
246,0.026166
247,0.025902
248,0.026061
249,0.026347
250,0.026376
251,0.026296
252,0.026088
253,0.026306
254,0.025917
255,0.026155
256,0.026437
257,0.026164
258,0.026229
259,0.026132
260,0.026277
261,0.026156
262,0.026208
263,0.026294
264,0.026163
265,0.026371
266,0.026030
267,0.026010
268,0.025972
269,0.026117
270,0.025986
271,0.026047
272,0.025856
273,0.026071
274,0.026048
275,0.026038
276,0.026062
277,0.026195
278,0.026048
279,0.025984
280,0.025982
281,0.026111
282,0.026109
283,0.026097
284,0.026065
285,0.026192
286,0.026092
287,0.025928
288,0.026172
289,0.026174
290,0.026192
291,0.025928
292,0.025911
293,0.026030
294,0.026063
295,0.026025
296,0.026201
297,0.026158
298,0.025988
299,0.026080
300,0.026006
301,0.026036
302,0.051673
303,0.026077
304,0.051986
305,0.051950
306,0.077424
307,0.051695
308,0.026039
309,0.077726
310,0.026149
311,0.026161
312,0.026013
313,0.026157
314,0.026020
315,0.026267
316,0.025934
317,0.026154
318,0.026098
319,0.025916
320,0.026059
321,0.026010
322,0.026007
323,0.026022
324,0.026030
325,0.026268
326,0.026180
327,0.026090
328,0.026196
329,0.026103
330,0.026012
331,0.025997
332,0.025904
333,0.026060
334,0.026047
335,0.026048
336,0.026135
337,0.026026
338,0.026056
339,0.025945
340,0.025939
341,0.026029
342,0.026066
343,0.026163
344,0.026011
345,0.026271
346,0.026114
347,0.026143
348,0.025917
349,0.025979
350,0.025955
351,0.025925
352,0.026051
353,0.025983
354,0.026005
355,0.025833
356,0.025967
357,0.025998
358,0.026055
359,0.026178
360,0.026064
361,0.026112
362,0.026297
363,0.026023
364,0.026024
365,0.026091
366,0.026045
367,0.025902
368,0.026032
369,0.026029
370,0.025929
371,0.025917
372,0.025971
373,0.026210
374,0.025983
375,0.025972
376,0.026114
377,0.026014
378,0.026085
379,0.025902
380,0.025923
381,0.026031
382,0.026058
383,0.025952
384,0.026142
385,0.045669
386,0.025730
387,0.025723
388,0.026254
389,0.025903
390,0.026016
391,0.025868
392,0.025894
393,0.025964
394,0.025991
395,0.026000
396,0.025912
397,0.025924
398,0.025919
399,0.025919
400,0.026009
401,0.025950
402,0.025936
403,0.051514
404,0.025770
405,0.077377
406,0.051514
407,0.077595
408,0.025928
409,0.026010
410,0.026156
411,0.025940
412,0.025969
413,0.026023
414,0.051583
415,0.025978
416,0.025922
417,0.026072
418,0.026047
419,0.025844
420,0.026084
421,0.026032
422,0.025986
423,0.025995
424,0.026032
425,0.025986
426,0.025993
427,0.026118
428,0.025959
429,0.026017
430,0.025935
431,0.026087
432,0.025904
433,0.026095
434,0.025981
435,0.026008
436,0.025943
437,0.026213
438,0.025962
439,0.025942
440,0.025919
441,0.025975
442,0.026051
443,0.051866
444,0.026030
445,0.026027
446,0.026068
447,0.025910
448,0.025953
449,0.026051
450,0.025975
451,0.026004
452,0.026021
453,0.026251
454,0.026041
455,0.026203
456,0.025973
457,0.051708
458,0.025830
459,0.026020
460,0.026093
461,0.026008
462,0.025983
463,0.077434
464,0.026023
465,0.026019
466,0.025998
467,0.025998
468,0.026160
469,0.026128
470,0.051946
471,0.026013
472,0.025829
473,0.103130
474,0.103185
475,0.077441
476,0.025940
477,0.025914
478,0.025835
479,0.025928
480,0.077477
481,0.026102
482,0.026047
483,0.077612
484,0.026065
485,0.026108
486,0.025896
487,0.025981
488,0.025801
489,0.077275
490,0.025822
491,0.025897
492,0.025890
493,0.077318
494,0.026011
495,0.051763
496,0.051661
497,0.025981
498,0.025845
499,0.025894
500,0.025883
501,0.025919
502,0.025751
503,0.025865
504,0.025792
505,0.026070
506,0.025833
507,0.025825
508,0.025918
509,0.025917
510,0.025976
511,0.051633
512,0.025795
513,0.026056
514,0.026063
515,0.026020
516,0.025942
517,0.026087
518,0.026131
519,0.026192
520,0.026114
521,0.026126
522,0.026228
523,0.026171
524,0.026001
525,0.026140
526,0.026102
527,0.026162
528,0.051754
529,0.051965
530,0.052096
531,0.052039
532,0.051992
533,0.026128
534,0.052070
535,0.052044
536,0.052068
537,0.052314
538,0.051880
539,0.051858
540,0.026409
541,0.078201
542,0.078029
543,0.104205
544,0.103911
545,0.104907
546,0.104657
547,0.052279
548,0.104317
549,0.078686
550,0.078494
551,0.078489
552,0.104093
553,0.104143
554,0.104222
555,0.104087
556,0.052126
557,0.078198
558,0.052105
559,0.052011
560,0.026023
561,0.051992
562,0.078319
563,0.078555
564,0.078135
565,0.026153
566,0.052039
567,0.077919
568,0.077982
569,0.078173
570,0.078257
571,0.078190
572,0.026145
573,0.026311
574,0.025906
575,0.026256
576,0.025994
577,0.026245
578,0.026312
579,0.026339
580,0.026071
581,0.026062
582,0.026287
583,0.026087
584,0.025954
585,0.026427
586,0.026144
587,0.026245
588,0.026214
589,0.026191
590,0.026197
591,0.026229
592,0.026263
593,0.026201
594,0.026435
595,0.025912
596,0.026132
597,0.026030
598,0.026143
599,0.026363
600,0.026178
601,0.026160
602,0.025920
603,0.026206
604,0.026193
605,0.026170
606,0.026226
607,0.026291
608,0.026378
609,0.026269
610,0.026059
611,0.026197
612,0.026077
613,0.026419
614,0.026322
615,0.026181
616,0.026125
617,0.026070
618,0.026268
619,0.026108
620,0.026241
621,0.026081
622,0.026251
623,0.026104
624,0.026418
625,0.026192
626,0.026016
627,0.026300
628,0.026185
629,0.026238
630,0.025989
631,0.026352
632,0.026240
633,0.026140
634,0.026216
635,0.026106
636,0.026323
637,0.026146
638,0.026090
639,0.026084
640,0.026216
641,0.026357
642,0.026352
643,0.026121
644,0.025989
645,0.026249
646,0.026113
647,0.026254
648,0.026445
649,0.026022
650,0.026195
651,0.026049
652,0.026153
653,0.026188
654,0.026238
655,0.026206
656,0.026165
657,0.026394
658,0.025941
659,0.026266
660,0.026180
661,0.026132
662,0.026366
663,0.026084
664,0.078507
665,0.026128
666,0.026035
667,0.026240
